,Tahun,Quarter,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,index
0,2016,1,ACEH,34709.09090909091,22295.454545454544,9931.818181818182,56309.09090909091,39804.545454545456,28772.727272727272,125981.81818181818,16422.727272727272,13854.545454545454,22395.454545454544,2181.6768181818184
1,2016,1,BALI,36722.72727272727,31550.0,10631.818181818182,32940.90909090909,29813.636363636364,32359.090909090908,101900.0,15659.090909090908,13572.727272727272,18440.90909090909,1999.2731818181812
2,2016,1,BANTEN,41695.454545454544,35718.181818181816,10863.636363636364,48509.09090909091,39168.181818181816,32645.454545454544,113695.45454545454,15418.181818181818,12290.909090909092,21181.81818181818,2182.1859090909093
3,2016,1,BENGKULU,39500.0,36636.36363636364,10368.181818181818,50531.81818181818,43522.72727272727,32840.90909090909,126136.36363636365,15940.909090909092,13000.0,20490.90909090909,2249.578181818182
4,2016,1,DI YOGYAKARTA,38204.545454545456,34663.63636363636,10640.90909090909,39672.72727272727,32968.181818181816,30590.90909090909,114400.0,15059.090909090908,12304.545454545454,18759.090909090908,2082.4736363636366
5,2016,1,DKI JAKARTA,43931.81818181818,39954.545454545456,10881.818181818182,53604.545454545456,44218.181818181816,29540.90909090909,123750.0,15954.545454545454,13331.818181818182,20259.090909090908,2246.645
6,2016,1,GORONTALO,45541.66666666666,39916.66666666666,10204.166666666666,29875.0,24916.66666666667,41666.66666666666,110000.0,17237.5,14058.333333333336,22479.16666666667,2202.7387500000004
7,2016,1,JAMBI,31240.90909090909,34577.27272727273,11450.0,44545.454545454544,38531.81818181818,29068.181818181816,123809.09090909091,15468.181818181818,12595.454545454546,18963.636363636364,2160.6581818181817
8,2016,1,JAWA BARAT,38504.16666666666,36345.833333333336,10416.666666666666,45454.16666666666,40658.333333333336,31954.16666666667,122541.66666666669,15966.666666666664,12908.333333333336,20279.166666666668,2191.878333333333
9,2016,1,JAWA TENGAH,37909.09090909091,34313.63636363636,10013.636363636364,39968.181818181816,35150.0,31000.0,114331.81818181818,15340.909090909092,12527.272727272728,18936.36363636364,2069.51
10,2016,1,JAWA TIMUR,36750.0,32022.727272727272,9990.90909090909,35195.454545454544,27436.363636363636,28390.90909090909,109504.54545454547,14800.0,12754.545454545454,18004.545454545456,1966.096818181818
11,2016,1,KALIMANTAN BARAT,42163.63636363636,35331.818181818184,13381.818181818182,39163.63636363636,45718.181818181816,26959.090909090908,125981.81818181818,15631.818181818182,13436.363636363636,24268.181818181816,2285.3595454545457
12,2016,1,KALIMANTAN SELATAN,42522.72727272727,35654.545454545456,13750.0,39159.09090909091,48372.727272727265,33395.454545454544,127290.90909090909,16213.636363636364,13245.454545454546,21218.18181818182,2370.9318181818176
13,2016,1,KALIMANTAN TENGAH,44718.181818181816,37913.63636363636,13900.0,55463.63636363637,47318.181818181816,30818.181818181816,125227.27272727274,16604.545454545456,14372.727272727272,23145.454545454544,2424.117272727273
14,2016,1,KALIMANTAN TIMUR,43586.36363636364,38318.181818181816,12145.454545454546,42295.454545454544,42581.81818181818,28740.90909090909,119590.90909090909,16409.090909090908,14927.272727272728,21913.636363636364,2235.485
15,2016,1,KALIMANTAN UTARA,47863.63636363637,39318.181818181816,12627.272727272728,44322.727272727265,44995.454545454544,37522.72727272727,103068.18181818182,15659.090909090908,13600.0,22809.090909090908,2280.9418181818187
16,2016,1,KEPULAUAN BANGKA BELITUNG,42775.0,36950.0,11308.333333333336,67725.0,50008.33333333334,31916.66666666667,117716.66666666669,14275.0,11850.0,20600.0,2292.054166666667
17,2016,1,KEPULAUAN RIAU,23263.636363636364,34972.72727272727,12613.636363636364,51590.90909090909,39577.27272727273,32454.545454545456,109672.72727272726,15377.272727272728,12545.454545454546,24936.363636363636,2206.4404545454545
18,2016,1,LAMPUNG,35654.545454545456,32677.272727272728,10900.0,47686.36363636363,42295.454545454544,26418.181818181816,114204.54545454546,15054.545454545454,13050.0,18918.18181818182,2077.414090909091
19,2016,1,MALUKU,51636.36363636363,42968.181818181816,12322.727272727272,49736.36363636363,41700.0,35713.63636363636,106386.36363636363,18027.272727272728,15609.090909090908,34072.72727272727,2399.5686363636364
20,2016,1,MALUKU UTARA,54750.0,51500.0,12033.333333333336,44979.16666666666,47375.0,35770.833333333336,116666.66666666669,17708.333333333332,15341.666666666664,27250.0,2414.265416666666
21,2016,1,NUSA TENGGARA BARAT,33990.90909090909,32013.636363636364,9127.272727272728,32354.545454545456,23263.636363636364,37090.90909090909,113345.45454545454,15113.636363636364,13372.727272727272,19150.0,2049.161363636364
22,2016,1,NUSA TENGGARA TIMUR,33527.27272727273,41486.36363636364,10859.09090909091,46804.545454545456,35218.181818181816,35481.818181818184,95909.09090909091,16063.636363636364,13709.090909090908,23027.272727272728,2109.655
23,2016,1,PAPUA,54854.16666666666,43862.5,11854.166666666664,39162.5,51091.66666666666,37858.333333333336,114379.16666666669,18729.166666666668,14741.666666666664,30279.16666666667,2411.907083333333
24,2016,1,PAPUA BARAT,57090.90909090909,50068.181818181816,12745.454545454546,47563.63636363637,62263.63636363637,36468.181818181816,106818.18181818182,18427.272727272728,16822.727272727272,28963.636363636364,2448.665454545455
25,2016,1,RIAU,31740.90909090909,33477.27272727273,11736.363636363636,57995.454545454544,43977.27272727273,30259.090909090908,110181.81818181818,15472.727272727272,12972.727272727272,22754.545454545456,2189.4563636363628
