Tahun,Bulan,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,Bulan_y,index
2016,2,32,34725.0,22425.0,10137.5,56387.5,41562.5,28800.0,126037.5,16387.5,14162.5,22400.0,1,0.8685080930338529
2016,2,18,37662.5,31687.5,10625.0,32137.5,30450.0,32537.5,101750.0,15600.0,13600.0,18462.5,1,-0.05157078621100197
2016,2,7,42212.5,36400.0,10862.5,49087.5,40375.0,32662.5,113737.5,15375.0,12312.5,21137.5,1,0.41091184578847617
2016,2,31,39625.0,36875.0,10375.0,51700.0,45375.0,32250.0,126250.0,15975.0,13012.5,20462.5,1,-0.08943660487106797
2016,2,5,38937.5,35037.5,10637.5,39975.0,33875.0,30437.5,114400.0,15025.0,12325.0,18800.0,1,0.2972943568770461
2016,2,14,44687.5,39937.5,10887.5,53612.5,45800.0,29287.5,123750.0,15937.5,13337.5,20275.0,1,0.4197711192109921
2016,2,3,47250.0,40000.0,10162.5,30250.0,24500.0,41875.0,110000.0,17175.0,14150.0,22762.5,1,-0.5977798482055903
2016,2,29,31075.0,34787.5,11450.0,45425.0,40362.5,29000.0,123750.0,15437.5,12587.5,18900.0,1,0.01894676766988823
2016,2,15,39412.5,36450.0,10362.5,46662.5,42700.0,31600.0,121987.5,15862.5,12975.0,20162.5,1,0.0921544266098806
2016,2,6,37912.5,34425.0,10012.5,40175.0,36025.0,30762.5,114287.5,15312.5,12537.5,18937.5,1,0.14719179599411802
2016,2,8,37287.5,32237.5,10000.0,34925.0,28475.0,28262.5,109662.5,14762.5,12775.0,18037.5,1,-0.019429768055559293
2016,2,12,43287.5,35225.0,13325.0,36537.5,47162.5,28037.5,125487.5,15487.5,13425.0,24137.5,1,0.5709127512277092
2016,2,11,43050.0,35987.5,13750.0,41437.5,49912.5,33600.0,127362.5,16150.0,13225.0,21125.0,1,0.16897753108027302
2016,2,27,44937.5,37912.5,13887.5,57350.0,47800.0,31000.0,125312.5,16600.0,14337.5,23125.0,1,0.007549239529652141
2016,2,21,43925.0,38400.0,12137.5,43300.0,43837.5,29000.0,119237.5,16325.0,14925.0,21925.0,1,0.006745779984981937
2016,2,KALIMANTAN UTARA,47687.5,39500.0,12637.5,45425.0,46537.5,37562.5,102812.5,15612.5,13600.0,22850.0,1,0.35445680044028904
2016,2,25,44250.0,36950.0,11350.0,70125.0,54825.0,32250.0,117200.0,14225.0,11875.0,20250.0,1,-0.3388800144864774
2016,2,76,22750.0,34862.5,12575.0,51875.0,40637.5,32800.0,109775.0,15325.0,12562.5,24725.0,1,0.05696189272026686
2016,2,30,35875.0,32725.0,10875.0,48287.5,43062.5,26100.0,114062.5,15050.0,13087.5,18837.5,1,-0.05544058106062266
2016,2,10,52075.0,43075.0,12325.0,49200.0,41525.0,35787.5,106275.0,17975.0,15587.5,33962.5,1,-0.13893378600032236
2016,2,9,53750.0,50500.0,12050.0,46687.5,45750.0,35750.0,116250.0,17625.0,15287.5,27250.0,1,-0.03374983000699672
2016,2,2,35625.0,32375.0,9137.5,31950.0,24000.0,36500.0,113537.5,15100.0,13425.0,19225.0,1,0.26354756180278116
2016,2,17,34537.5,41725.0,10875.0,46187.5,38387.5,35312.5,96250.0,16037.5,13737.5,23075.0,1,-0.021028245777671373
2016,2,16,55175.0,43450.0,11750.0,36825.0,50262.5,37800.0,112812.5,18737.5,14737.5,30825.0,1,-1.3311483686183436
2016,2,23,57187.5,49625.0,12750.0,47662.5,65487.5,36362.5,106562.5,18362.5,16825.0,28787.5,1,-0.39153710347970616
2016,2,19,31925.0,33550.0,11775.0,58350.0,45550.0,30162.5,110112.5,15387.5,12987.5,22687.5,1,0.20806625213378993
2016,2,-1,41175.0,37150.0,11250.0,44325.0,40762.5,31837.5,114237.5,16100.0,13562.5,21862.5,1,-1.3967923294992062
2016,2,77,41687.5,33437.5,9350.0,31762.5,25450.0,32562.5,113750.0,16762.5,13912.5,18162.5,1,-0.3282564230267724
2016,2,13,36875.0,34037.5,9700.0,28712.5,25975.0,23187.5,101225.0,15950.0,13262.5,18037.5,1,0.05341946025852451
2016,2,20,44833.333333333336,39350.0,10116.666666666666,31666.666666666668,31366.666666666668,25916.666666666668,106166.66666666667,16133.333333333334,14416.666666666666,21500.0,1,-0.3766602512848749
2016,2,4,46662.5,42062.5,10375.0,31225.0,38062.5,29162.5,113437.5,16812.5,13387.5,20850.0,1,0.4580477164559227
