Tahun,Quarter,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,index
2016,1,ACEH,34709.09090909091,22295.454545454544,9931.818181818182,56309.09090909091,39804.545454545456,28772.727272727272,125981.81818181818,16422.727272727272,13854.545454545454,22395.454545454544,2181.6768181818184
2016,1,BALI,36722.72727272727,31550.0,10631.818181818182,32940.90909090909,29813.636363636364,32359.090909090908,101900.0,15659.09090909091,13572.727272727272,18440.909090909092,1999.2731818181815
2016,1,BANTEN,41695.454545454544,35718.181818181816,10863.636363636364,48509.09090909091,39168.181818181816,32645.454545454544,113695.45454545454,15418.181818181818,12290.90909090909,21181.81818181818,2182.185909090909
2016,1,BENGKULU,39500.0,36636.36363636364,10368.181818181818,50531.818181818184,43522.72727272727,32840.90909090909,126136.36363636363,15940.90909090909,13000.0,20490.909090909092,2249.578181818182
2016,1,DI YOGYAKARTA,38204.545454545456,34663.63636363636,10640.90909090909,39672.72727272727,32968.181818181816,30590.909090909092,114400.0,15059.09090909091,12304.545454545454,18759.090909090908,2082.4736363636366
2016,1,DKI JAKARTA,43931.818181818184,39954.545454545456,10881.818181818182,53604.545454545456,44218.181818181816,29540.909090909092,123750.0,15954.545454545454,13331.818181818182,20259.090909090908,2246.645
2016,1,GORONTALO,45541.666666666664,39916.666666666664,10204.166666666666,29875.0,24916.666666666668,41666.666666666664,110000.0,17237.5,14058.333333333334,22479.166666666668,2202.7387500000004
2016,1,JAMBI,31240.909090909092,34577.27272727273,11450.0,44545.454545454544,38531.818181818184,29068.18181818182,123809.09090909091,15468.181818181818,12595.454545454546,18963.636363636364,2160.6581818181817
2016,1,JAWA BARAT,38504.166666666664,36345.833333333336,10416.666666666666,45454.166666666664,40658.333333333336,31954.166666666668,122541.66666666667,15966.666666666666,12908.333333333334,20279.166666666668,2191.878333333333
2016,1,JAWA TENGAH,37909.09090909091,34313.63636363636,10013.636363636364,39968.181818181816,35150.0,31000.0,114331.81818181818,15340.90909090909,12527.272727272728,18936.363636363636,2069.51
2016,1,JAWA TIMUR,36750.0,32022.727272727272,9990.90909090909,35195.454545454544,27436.363636363636,28390.909090909092,109504.54545454546,14800.0,12754.545454545454,18004.545454545456,1966.096818181818
2016,1,KALIMANTAN BARAT,42163.63636363636,35331.818181818184,13381.818181818182,39163.63636363636,45718.181818181816,26959.090909090908,125981.81818181818,15631.818181818182,13436.363636363636,24268.18181818182,2285.3595454545457
