Tahun,Quarter,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,index
2018,1,ACEH,28739.830508474577,26020.338983050846,10347.457627118643,38967.79661016949,48967.79661016949,26522.881355932204,134134.74576271186,14507.627118644068,14216.949152542373,21756.77966101695,2143.0242372881353
2018,1,BALI,22311.206896551725,22966.379310344826,11882.758620689656,33898.275862068964,33227.58620689655,34928.44827586207,107964.6551724138,13081.034482758621,13733.620689655172,20768.96551724138,2067.9939655172416
2018,1,BANTEN,25893.22033898305,27866.949152542373,11899.152542372882,42087.28813559322,43641.52542372881,36835.59322033898,116650.0,13115.254237288136,12283.898305084746,23438.13559322034,2215.105508474576
2018,1,BENGKULU,26496.610169491527,27238.13559322034,12180.50847457627,39861.016949152545,40653.38983050847,34395.76271186441,122846.61016949153,12838.983050847457,12922.881355932202,21500.0,2210.858728813559
2018,1,DI YOGYAKARTA,22855.93220338983,34444.91525423729,11916.101694915254,38795.76271186441,35345.76271186441,33338.983050847455,113750.0,13050.0,12641.525423728814,21292.372881355932,2123.4092372881355
2018,1,DKI JAKARTA,31614.406779661018,42677.96610169492,13625.42372881356,48462.71186440678,47853.38983050847,35094.06779661017,124462.71186440678,13794.915254237289,13429.661016949152,23069.491525423728,2384.5709322033895
2018,1,GORONTALO,28344.915254237287,31588.13559322034,10514.406779661016,26461.01694915254,44746.61016949153,23588.98305084746,110254.2372881356,14979.661016949152,14673.728813559323,21726.271186440677,1934.7416101694917
2018,1,JAMBI,22801.694915254237,26273.728813559323,12072.881355932202,40349.15254237288,44482.20338983051,32956.779661016946,122881.35593220338,13118.64406779661,12567.796610169491,20460.169491525423,2176.6155084745765
2018,1,JAWA BARAT,24817.79661016949,29397.457627118645,11644.915254237289,39813.5593220339,41739.83050847457,34311.86440677966,121123.72881355933,13190.677966101695,12934.745762711864,22355.93220338983,2186.9862711864407
2018,1,JAWA TENGAH,22455.084745762713,30798.305084745763,11450.847457627118,34805.93220338983,34907.627118644064,33005.93220338983,114123.72881355933,13215.254237288136,12577.966101694916,21271.186440677968,2081.5694067796608
2018,1,JAWA TIMUR,20694.915254237287,23865.254237288136,11339.830508474577,31377.118644067796,27440.677966101695,31582.20338983051,109611.01694915254,12948.305084745763,12581.35593220339,20657.627118644068,1988.8392372881353
2018,1,KALIMANTAN BARAT,25925.0,23039.655172413793,13116.379310344828,43829.31034482759,58268.96551724138,27999.137931034482,122295.68965517242,12500.0,13288.793103448275,22233.620689655174,2200.497672413793
2018,1,KALIMANTAN SELATAN,23744.06779661017,25273.728813559323,12577.118644067798,38690.67796610169,40710.16949152543,34929.661016949154,128182.20338983051,13803.389830508475,13283.898305084746,23693.22033898305,2270.1417796610167
2018,1,KALIMANTAN TENGAH,25856.77966101695,27277.966101694914,13677.966101694916,51828.813559322036,49978.813559322036,32966.94915254237,122027.1186440678,14643.22033898305,14163.559322033898,25757.627118644068,2345.7076271186443
2018,1,KALIMANTAN TIMUR,27361.86440677966,27239.830508474577,12870.338983050848,40483.898305084746,48361.016949152545,36374.57627118644,122422.03389830509,13897.457627118643,16570.338983050846,22949.15254237288,2309.328474576271
2018,1,KALIMANTAN UTARA,30398.305084745763,28292.372881355932,13272.033898305084,41929.661016949154,56094.91525423729,38631.35593220339,102772.03389830509,13608.474576271186,14154.237288135593,26223.728813559323,2268.41406779661
2018,1,KEPULAUAN BANGKA BELITUNG,29585.593220338982,26566.949152542373,11916.101694915254,53398.30508474576,47268.64406779661,35834.745762711864,112894.06779661016,13064.406779661016,13065.254237288136,25702.542372881355,2256.000762711865
2018,1,KEPULAUAN RIAU,28889.830508474577,24997.457627118645,13316.101694915254,51335.59322033898,43144.91525423729,34314.40677966102,111974.57627118644,12967.796610169491,12697.457627118643,27099.15254237288,2274.741779661017
2018,1,LAMPUNG,21404.237288135595,26145.762711864405,11918.64406779661,36984.745762711864,38910.16949152543,32027.966101694914,110894.91525423729,12700.0,12902.542372881357,21399.15254237288,2070.8916101694913
2018,1,MALUKU,34080.1724137931,31911.206896551725,12850.862068965518,46931.03448275862,45933.620689655174,41859.48275862069,110001.72413793103,16318.965517241379,15939.655172413793,31374.137931034482,2414.9351724137928
2018,1,MALUKU UTARA,38439.65517241379,37323.275862068964,12927.586206896553,30490.51724137931,49378.44827586207,39131.57894736842,110000.0,14712.931034482759,15816.379310344828,34948.275862068964,2365.336792196007
2018,1,NUSA TENGGARA BARAT,19809.322033898305,26249.15254237288,9893.22033898305,34115.254237288136,37061.86440677966,37129.661016949154,104789.83050847458,13651.694915254237,13258.474576271186,22438.13559322034,2015.4878813559324
2018,1,NUSA TENGGARA TIMUR,23424.57627118644,30998.305084745763,11750.0,45090.67796610169,48305.08474576271,42626.27118644068,99887.28813559322,14721.186440677966,14883.050847457627,26616.101694915254,2239.969322033898
2018,1,PAPUA,41188.13559322034,36335.59322033898,12224.57627118644,47616.94915254237,46552.542372881355,38644.91525423729,112748.30508474576,17141.525423728814,15160.169491525423,36269.49152542373,2432.896101694915
2018,1,PAPUA BARAT,37330.50847457627,35720.338983050846,13116.101694915254,33483.898305084746,45064.40677966102,35707.627118644064,109406.77966101695,16483.050847457627,16230.50847457627,29177.118644067796,2300.532966101695
2018,1,RIAU,24842.372881355932,25601.694915254237,12616.101694915254,46691.52542372881,49010.16949152543,26751.694915254237,113163.55932203389,12438.983050847457,13294.915254237289,22910.169491525423,2116.6022033898303
