Tahun,Quarter,Daging Sapi,Bawang Merah,Cement Consumption,Minyak Goreng Curah,Motorcycle Sales,Kredit Konsumsi,Telur Ayam Ras,IHSG,Cabe Merah Keriting,Gula Pasir,Nilai Tukar Petani,Minyak Dunia,Retail Growth,Daging Ayam Broiler,Exchange Rate,IKK,Cabe Merah Biasa,Car Sales,DPK,Beras,Daya Beli Nasional
2012,2,1.734072271957121,26.58547976227881,7.111532631674611,2.345187420775252,-8.334726768502232,5.352555494576072,-4.799624835623306,-4.026979163911837,-1.6319208060492585,9.698834377487998,-0.3139866793529955,-9.19377716125207,5.499932310076576,-4.656290506100036,2.536266529488307,6.616961789375586,3.7568992779464683,13.395925527249508,4.595157423544083,-1.916936222105703,11.225032880920672
2012,3,6.451415716697073,-13.19019373569783,1.3891775601639234,-2.180057764849763,-8.011907310028821,5.24700637172113,8.288516650218657,7.760789386731681,-5.310452068108562,8.866765788627573,0.46769113295792586,3.970182152079138,6.226922706538698,7.118315238409889,2.128103583833818,2.8846153846153744,-4.403425728420929,-1.1865795219227149,3.1843138634692902,1.1813806325070564,-2.426096851905102
2012,4,5.116991619412592,1.9997996571772259,14.181801652203063,-7.4686967695664075,6.414429657934684,5.277790575985142,-5.1961756354305555,1.2698000099001572,-17.882044823539523,-3.225029260399781,0.4370131103933028,-2.2307224276524984,5.613574882342252,-5.446381258921573,1.4557590114604002,-1.1045029736618472,-15.734865845420142,6.709339064101116,5.745722233369932,1.9422049825913446,-0.8173753000575767
2013,1,5.637180119827545,84.39514993852374,-12.345536775856003,-4.797327520083972,13.128724490001975,1.8569599423818417,9.010706784212253,14.462456972210402,29.682159241489202,-1.8562263824098535,-0.5013242527430961,3.107928375779112,3.118735193970798,6.479242791337048,0.7014397789890214,0.3436426116838476,27.05741941946811,-1.3027111195579866,0.5561829072199709,2.5134899137377875,-4.526134816489991
2013,2,0.8021391201500583,31.598958377412778,4.974157172515703,0.17807532981186647,0.10174159165667884,4.514859458457465,-6.168885405558855,-2.470984536284848,16.3948516543577,0.9043806387484254,-0.22815857020629382,-7.24674109711022,4.066679913968756,-1.9071940835230228,0.9201998020282431,0.25684931506848585,15.554009676235726,3.4066877022762787,4.043493704858503,-1.205951365682445,9.831037945599075
2013,3,4.043214608574797,38.460535761215134,-3.6343586719641108,1.6827199325547104,-4.867271740764023,4.562021290215723,14.80696867817446,-10.432246396736177,6.542994570328853,-0.08075851449236282,-0.6002858504049691,5.123363049248542,2.4944680380426805,17.62238934863789,8.639884912808249,-8.539709649871908,13.915776394889011,-0.015028259662175358,4.502185952999649,1.8294634082617778,0.4297305935435869
2013,4,2.036283391952365,-39.50568317140517,19.50614540869642,4.166171208530667,4.582425609487006,2.11645025875713,-7.314094577439256,-0.9730604127357378,5.548508129208263,-1.7690516940149115,0.7956288343558438,0.9054409662200724,3.1251171807974267,-5.167556539886997,9.028509955979146,8.776844070961731,4.792002946315943,5.10612853053809,3.9073356270283854,1.1220271769704526,-2.045067764760944
2014,1,5.602541651407833,-17.65844686035345,-14.309299952976662,7.95618513261942,1.5976436803975202,1.1972833416569628,6.3799175619599025,11.560120228993798,-14.204998788869538,-4.243685335368042,-3.1954350927246744,-2.5634428967758582,2.7608709974351644,-0.015555026778668601,1.9541836380299715,1.4592274678111528,-17.34114812173182,2.1232874583036354,-1.2528493698634957,4.659170707133908,-2.3877271067401007
2014,2,-0.5178395123232815,-1.798588272215762,5.024180134739309,2.018698703758348,11.796624726068972,4.318424422409239,-3.925512639384443,2.3133093987618647,-29.131084933434394,-2.771878979763709,0.08841732979663064,1.3219048170616476,-0.16957151415560526,-0.193510559936505,-1.850253142701208,-1.6074450084602399,-25.594172542172878,-4.530884228662913,5.9821772085844716,-1.363743663403183,9.185024435994805
2014,3,2.6174199073144777,3.4035074485202266,-4.962034068336719,-0.2905289970559166,-16.568190322478806,2.168039188511872,9.007067165812298,5.308858188711407,0.4956031527949323,-1.7509455717579225,0.17667844522968323,-15.377071189775183,2.1814709491331428,5.9593222980161675,1.2020294180997482,3.009458297506451,-3.2852579581261754,-7.35228001033107,4.206542542801506,1.672105651529976,2.367910361194059
2014,4,-0.41710114434456713,-18.10866927340924,20.401707698239345,-2.5700351375131825,-1.9594991100309267,3.3851959509421548,-2.666812427581189,1.7394963658952767,145.80949841316922,1.4515163255601538,0.29394473838917357,-31.76822441589796,-2.168739118450071,-8.259325542666197,4.16382416615364,-2.7545909849749584,133.60523618151882,-5.234048850663697,2.96853974032254,5.946134244662504,-8.59039544529937
2015,1,1.2040967348030618,20.05618821313484,-17.42200896858055,-0.39118907733950437,-11.536831383796908,1.2444355398326223,5.905738522156678,5.58123126176715,-36.169291278012196,0.2700254008316083,-0.1660805001953869,-12.617502238137856,-0.8994399266111903,1.5316459690735584,4.533302726547905,0.34334763948498104,-38.71294554128778,2.5396675515977796,2.0454158787872823,5.747919540335711,1.3198121161200338
2015,2,1.4720049751821396,34.19265413795194,3.817163793176892,-0.6948216362718695,-2.2381954875975385,2.7847251024136543,-1.8832148012859262,-11.017445310695074,-14.549201868216223,11.050821208952733,-2.1234954496526126,11.738158748468042,-0.1389961991790886,1.8936374624488383,2.5049414663703917,-4.790419161676651,-2.748166670915342,-13.882710452497681,2.8860254319499123,-0.8335332456334554,3.2567424674422085
