Tahun,Bulan,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,Bulan_y,index
2018,2,ACEH,28047.36842105263,24652.63157894737,10373.684210526315,36205.26315789474,53718.42105263158,26197.36842105263,134721.05263157896,14492.105263157895,14373.684210526315,21276.315789473683,1,-2.9707629185748488
2018,2,BALI,19894.736842105263,24236.842105263157,12228.947368421053,37750.0,35847.36842105263,33094.73684210526,108150.0,13176.315789473685,13786.842105263158,19936.842105263157,1,1.0438714231801214
2018,2,BANTEN,24928.947368421053,28226.315789473683,12328.947368421053,43965.78947368421,45121.05263157895,36184.21052631579,116650.0,13136.842105263158,12228.947368421053,22994.736842105263,1,-0.07054756469642598
2018,2,BENGKULU,25844.736842105263,27463.157894736843,12447.368421052632,40481.57894736842,38289.47368421053,31336.842105263157,122800.0,12952.631578947368,13052.631578947368,21123.684210526317,1,-3.8090507528483357
2018,2,DI YOGYAKARTA,22565.78947368421,36223.68421052631,12423.684210526315,41857.89473684211,39052.63157894737,32644.736842105263,113750.0,13110.526315789473,12681.578947368422,20981.57894736842,1,1.4766825309847604
2018,2,DKI JAKARTA,31842.105263157893,40921.05263157895,14144.736842105263,50618.42105263158,49455.26315789474,34157.89473684211,123750.0,13757.894736842105,13450.0,22789.473684210527,1,1.4165586820779765
2018,2,GORONTALO,25263.157894736843,29710.526315789473,10400.0,26763.157894736843,45315.78947368421,22552.63157894737,110000.0,15250.0,14792.105263157895,21118.42105263158,1,-0.5948257036943687
2018,2,JAMBI,21021.052631578947,26213.157894736843,12100.0,39771.05263157895,43586.84210526316,29921.052631578947,122500.0,13050.0,12650.0,20136.842105263157,1,-4.3298463513443295
2018,2,JAWA BARAT,23426.315789473683,29860.526315789473,11978.947368421053,42307.89473684211,42568.42105263158,33536.84210526316,120300.0,13060.526315789473,12928.947368421053,22102.63157894737,1,0.4301725493953512
2018,2,JAWA TENGAH,20971.052631578947,33434.21052631579,11957.894736842105,37289.47368421053,38173.68421052631,32084.21052631579,114200.0,13244.736842105263,12650.0,21005.263157894737,1,0.00737039988125332
2018,2,JAWA TIMUR,19557.894736842107,25697.36842105263,11710.526315789473,32534.21052631579,30236.842105263157,30652.63157894737,109557.8947368421,13123.684210526315,12665.78947368421,20263.157894736843,1,-0.5855113901455553
2018,2,KALIMANTAN BARAT,24502.63157894737,23610.526315789473,13100.0,45831.57894736842,59957.89473684211,26323.684210526317,122057.8947368421,12576.315789473685,13347.368421052632,22607.894736842107,1,-1.1842384280300422
2018,2,KALIMANTAN SELATAN,21073.684210526317,24892.105263157893,12584.21052631579,39742.10526315789,41860.52631578947,32886.84210526316,127931.57894736843,13934.21052631579,13347.368421052632,23178.947368421053,1,-2.5402144788519507
2018,2,KALIMANTAN TENGAH,23634.21052631579,27339.473684210527,13792.105263157895,52586.84210526316,52147.36842105263,31673.684210526317,122250.0,14739.473684210527,14155.263157894737,24802.63157894737,1,-2.3811610879561584
2018,2,KALIMANTAN TIMUR,25018.42105263158,27218.42105263158,12850.0,42286.84210526316,46473.68421052631,35926.31578947369,122231.57894736843,14023.684210526315,16602.63157894737,22597.36842105263,1,-0.8281232165789731
2018,2,KALIMANTAN UTARA,28763.157894736843,25894.736842105263,13350.0,43136.84210526316,54094.73684210526,37026.31578947369,101900.0,13650.0,14228.947368421053,25923.684210526317,1,0.8418596893620958
2018,2,KEPULAUAN BANGKA BELITUNG,27592.105263157893,26076.315789473683,12000.0,52668.42105263158,46963.15789473684,34336.84210526316,113305.26315789473,13136.842105263158,13107.894736842105,25368.42105263158,1,-1.9998929584313032
2018,2,KEPULAUAN RIAU,27650.0,23344.736842105263,13294.736842105263,52431.57894736842,42863.15789473684,33955.26315789474,110928.94736842105,13607.894736842105,12752.631578947368,27578.947368421053,1,-1.1745284906850628
2018,2,LAMPUNG,20331.57894736842,27571.052631578947,12236.842105263158,36915.78947368421,38644.73684210526,30105.263157894737,110000.0,12710.526315789473,13086.842105263158,21050.0,1,-0.9464556983680694
2018,2,MALUKU,34392.10526315789,30044.736842105263,12797.368421052632,45423.68421052631,37557.89473684211,41507.89473684211,109400.0,16434.21052631579,15950.0,30428.947368421053,1,-0.9337525363349357
2018,2,MALUKU UTARA,36578.94736842105,35394.73684210526,12815.78947368421,30802.63157894737,46521.05263157895,39473.68421052631,110000.0,14842.105263157895,15850.0,32860.52631578947,1,-2.9051848627013186
2018,2,NUSA TENGGARA BARAT,17200.0,26528.947368421053,10360.526315789473,39121.05263157895,39160.52631578947,33447.36842105263,103428.94736842105,13786.842105263158,13247.368421052632,21665.78947368421,1,-0.9452604723671953
2018,2,NUSA TENGGARA TIMUR,23339.473684210527,28094.736842105263,11907.894736842105,46665.78947368421,44623.68421052631,40402.63157894737,100650.0,14868.421052631578,14900.0,25626.315789473683,1,-2.100565128721101
2018,2,PAPUA,40444.73684210526,34165.78947368421,12352.631578947368,49486.84210526316,43952.63157894737,38097.36842105263,109600.0,17334.21052631579,15200.0,36286.84210526316,1,4.821370238301114
