Tahun,Bulan,Provinsi,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam,Bulan_y,index
2016,8,ACEH,35713.63636363636,21129.545454545456,9513.636363636364,31622.727272727272,34988.63636363636,31238.636363636364,126318.18181818182,17715.909090909092,13650.0,24395.454545454544,7.0,0.7266954212361156
2016,8,BALI,36795.454545454544,30015.909090909092,10650.0,24027.272727272728,32377.272727272728,34438.63636363636,102850.0,16227.272727272728,13454.545454545454,19011.363636363636,7.0,0.25548877761474387
2016,8,BANTEN,41236.36363636364,33775.0,10956.818181818182,34754.545454545456,38747.72727272727,31886.363636363636,107422.72727272728,16247.727272727272,12259.09090909091,22984.090909090908,7.0,-0.3090553887075913
2016,8,BENGKULU,39750.0,35357.142857142855,10207.142857142857,37480.95238095238,40826.19047619047,36119.04761904762,127500.0,16321.42857142857,12800.0,21904.761904761905,7.0,-1.078166028610113
2016,8,DI YOGYAKARTA,35381.57894736842,32697.36842105263,10644.736842105263,26107.894736842107,31326.315789473683,31026.315789473683,114400.0,15692.105263157895,12302.631578947368,20268.42105263158,7.0,-1.8234154710994375
2016,8,DKI JAKARTA,40988.63636363636,38943.181818181816,10788.636363636364,34111.36363636364,44054.545454545456,30011.363636363636,123750.0,16447.727272727272,13209.09090909091,21497.727272727272,7.0,-0.830692256204216
2016,8,GORONTALO,47977.27272727273,39045.454545454544,10704.545454545454,34829.545454545456,24113.636363636364,50227.27272727273,110000.0,17513.636363636364,13913.636363636364,20834.090909090908,7.0,-2.227256765202128
2016,8,JAMBI,31538.636363636364,33979.545454545456,11493.181818181818,33147.72727272727,35229.545454545456,34072.72727272727,124829.54545454546,16025.0,12445.454545454546,19870.454545454544,7.0,-2.254129528916053
2016,8,JAWA BARAT,38486.36363636364,35456.818181818184,10429.545454545454,30934.090909090908,41734.09090909091,32463.636363636364,121618.18181818182,16529.545454545456,12825.0,21759.090909090908,7.0,-0.9854528746259348
2016,8,JAWA TENGAH,36168.181818181816,32206.81818181818,10018.181818181818,25193.18181818182,33415.90909090909,31922.727272727272,114800.0,15697.727272727272,12436.363636363636,20268.18181818182,7.0,-1.5520086005978158
2016,8,JAWA TIMUR,33902.27272727273,30620.454545454544,10031.818181818182,24634.090909090908,27218.18181818182,28811.363636363636,111361.36363636363,15059.09090909091,12688.636363636364,18977.272727272728,7.0,-2.9284976199059685
2016,8,KALIMANTAN BARAT,41840.90909090909,32568.18181818182,13502.272727272728,34938.63636363636,46061.36363636364,29870.454545454544,125863.63636363637,16286.363636363636,13338.636363636364,25777.272727272728,7.0,-0.42478031178406184
2016,8,KALIMANTAN SELATAN,43315.90909090909,35640.90909090909,13750.0,39490.90909090909,51177.27272727273,36447.72727272727,127243.18181818182,16834.090909090908,13084.09090909091,22465.909090909092,7.0,-0.5069813233607761
2016,8,KALIMANTAN TENGAH,46537.5,38287.5,14200.0,59375.0,53005.0,35525.0,125000.0,17070.0,14215.0,23940.0,7.0,0.8871020739663891
2016,8,KALIMANTAN TIMUR,47284.09090909091,37740.90909090909,12088.636363636364,42740.90909090909,45134.09090909091,33477.27272727273,120206.81818181818,17215.909090909092,14234.09090909091,22179.545454545456,7.0,-0.8382029433585956
2016,8,KALIMANTAN UTARA,49068.181818181816,37693.181818181816,12602.272727272728,40275.0,45029.545454545456,38090.90909090909,108952.27272727272,16220.454545454546,13527.272727272728,22893.18181818182,7.0,-0.9482847807001775
2016,8,KEPULAUAN RIAU,23806.81818181818,34097.72727272727,12700.0,38970.454545454544,36793.181818181816,32722.727272727272,109400.0,16186.363636363636,12290.90909090909,24763.636363636364,7.0,-0.808321008580819
2016,8,LAMPUNG,36545.454545454544,31215.909090909092,11131.818181818182,35456.818181818184,47370.454545454544,26727.272727272728,117759.09090909091,15784.09090909091,12981.818181818182,19954.545454545456,7.0,-2.7127605408021083
2016,8,MALUKU,57622.72727272727,44577.27272727273,12400.0,50625.0,42656.818181818184,37018.181818181816,105350.0,18811.363636363636,15500.0,34509.09090909091,7.0,0.7527348532179587
2016,8,MALUKU UTARA,56931.818181818184,52079.545454545456,11950.0,45954.545454545456,47181.818181818184,37750.0,120000.0,17454.545454545456,15395.454545454546,25600.0,7.0,2.3463437966040743
2016,8,NUSA TENGGARA BARAT,33261.36363636364,30750.0,9145.454545454546,20947.727272727272,24975.0,39813.63636363636,116265.90909090909,15727.272727272728,13400.0,20404.545454545456,7.0,3.3501697177997727
2016,8,NUSA TENGGARA TIMUR,30568.18181818182,40000.0,10922.727272727272,35288.63636363636,28140.909090909092,37734.09090909091,92500.0,16884.090909090908,13429.545454545454,24293.18181818182,7.0,-5.589066697896499
2016,8,PAPUA,57102.27272727273,45397.72727272727,12840.90909090909,39356.818181818184,61093.181818181816,38113.63636363636,123500.0,20472.727272727272,14931.818181818182,28788.636363636364,7.0,0.745772588906874
2016,8,PAPUA BARAT,57023.80952380953,49380.95238095238,12800.0,45269.04761904762,69923.80952380953,36771.42857142857,107261.90476190476,19016.666666666668,16976.190476190477,31038.095238095237,7.0,-0.3694443628168216
2016,8,RIAU,31150.0,32372.727272727272,11740.90909090909,37431.818181818184,42200.0,33115.90909090909,110375.0,16218.181818181818,12868.181818181818,23670.454545454544,7.0,-0.08914211411708095
2016,8,SEMUA PROVINSI,41277.27272727273,36411.36363636364,11302.272727272728,35311.36363636364,40104.545454545456,33756.818181818184,114738.63636363637,16761.363636363636,13454.545454545454,22536.363636363636,7.0,-3.0434593435827395
